english_sentence,alc_statement
Every project is a transaction.,Project ⊑ Transaction
A music is always a manager.,Music ⊑ Manager
A software or a university.,Software ⊔ University
No employee is a scientist.,Employee ⊑ ¬Scientist
A supplier or a food.,Supplier ⊔ Food
Every city is both a invoice and a book.,City ⊑ Invoice ⊓ Book
Every food is either a building or a account.,Food ⊑ Building ⊔ Account
A book or a service.,Book ⊔ Service
Every device is a software.,Device ⊑ Software
Every country buys at least one car.,Country ⊑ ∃buys.Car
All artists are musics.,Artist ⊑ Music
Every service buys something that is both a person and a company.,Service ⊑ ∃buys.(Person ⊓ Company)
All researchers are departments.,Researcher ⊑ Department
Every engineer that creates a course is a hardware.,Engineer ⊓ ∃creates.Course ⊑ Hardware
Every car develops only things that are either a vehicle or a artist.,Car ⊑ ∀develops.(Vehicle ⊔ Artist)
Every building that funds only doctors is a product.,Building ⊓ ∀funds.Doctor ⊑ Product
Every software uses only things that are either a food or a customer.,Software ⊑ ∀uses.(Food ⊔ Customer)
No service is a customer.,Service ⊑ ¬Customer
All scientists are defined as a teacher or a plant.,Scientist ⊑ Teacher ⊔ Plant
Every bank is a manager.,Bank ⊑ Manager
All machines are defined as a transaction or a food.,Machine ⊑ Transaction ⊔ Food
A customer is neither a scientist nor a hardware.,Customer ⊑ ¬(Scientist ⊔ Hardware)
Every manager is both a account and a music.,Manager ⊑ Account ⊓ Music
A vehicle funds exclusively customers.,Vehicle ⊑ ∀funds.Customer
Every country teaches only things that are either a transaction or a animal.,Country ⊑ ∀teaches.(Transaction ⊔ Animal)
Every plant produces at least one account.,Plant ⊑ ∃produces.Account
Anything that develops a plant also develops a project.,∃develops.Plant ⊑ ∃develops.Project
A food and a service.,Food ⊓ Service
Anything that develops a food.,∃develops.Food
All persons are suppliers as well as departments.,Person ⊑ Supplier ⊓ Department
"If a music treats anything, it must be a dog.",Music ⊑ ∀treats.Dog
Every transaction is a department that manages at least one product.,Transaction ⊑ Department ⊓ ∃manages.Product
A movie has child exclusively courses.,Movie ⊑ ∀hasChild.Course
A publication is neither a artist nor a movie.,Publication ⊑ ¬(Artist ⊔ Movie)
Every manager reads something that is both a researcher and a hardware.,Manager ⊑ ∃reads.(Researcher ⊓ Hardware)
Every student owns only researchers.,Student ⊑ ∀owns.Researcher
A person is something that works for a machine.,Person ⊑ ∃worksFor.Machine
A company operates exclusively devices.,Company ⊑ ∀operates.Device
Anything that delivers a book also delivers a publication.,∃delivers.Book ⊑ ∃delivers.Publication
Every movie has child at least one course.,Movie ⊑ ∃hasChild.Course
All schools are defined as a movie or a bank.,School ⊑ Movie ⊔ Bank
Each hospital is located in a employee.,Hospital ⊑ ∃locatedIn.Employee
Every machine is a service that delivers only publications.,Machine ⊑ Service ⊓ ∀delivers.Publication
Every university manages at least one publication.,University ⊑ ∃manages.Publication
A cat funds exclusively orders.,Cat ⊑ ∀funds.Order
A scientist is neither a supplier nor a animal.,Scientist ⊑ ¬(Supplier ⊔ Animal)
Every hospital is a product.,Hospital ⊑ Product
Every customer is either a scientist or a food.,Customer ⊑ Scientist ⊔ Food
Every device develops something that is both a library and a researcher.,Device ⊑ ∃develops.(Library ⊓ Researcher)
Every course knows only things that are either a project or a teacher.,Course ⊑ ∀knows.(Project ⊔ Teacher)
Anything that supervises a researcher also supervises a vehicle.,∃supervises.Researcher ⊑ ∃supervises.Vehicle
Every movie is both a transaction and a device.,Movie ⊑ Transaction ⊓ Device
Every organization creates something that is both a transaction and a school.,Organization ⊑ ∃creates.(Transaction ⊓ School)
Anything that buys a patient.,∃buys.Patient
Every company that reads only transactions is a school.,Company ⊓ ∀reads.Transaction ⊑ School
Every building is a book that operates at least one food.,Building ⊑ Book ⊓ ∃operates.Food
No hardware is a publication.,Hardware ⊑ ¬Publication
Anything that uses a hospital.,∃uses.Hospital
Each organization maintains a hospital.,Organization ⊑ ∃maintains.Hospital
Every movie is both a food and a engineer.,Movie ⊑ Food ⊓ Engineer
Every animal is either a music or a hardware.,Animal ⊑ Music ⊔ Hardware
"If a city maintains anything, it must be a food.",City ⊑ ∀maintains.Food
A machine authors exclusively buildings.,Machine ⊑ ∀authors.Building
All doctors are defined as a project or a teacher.,Doctor ⊑ Project ⊔ Teacher
A artist is something that treats a device.,Artist ⊑ ∃treats.Device
Every hospital works for at least one researcher.,Hospital ⊑ ∃worksFor.Researcher
A invoice attends exclusively machines.,Invoice ⊑ ∀attends.Machine
A artist and a manager.,Artist ⊓ Manager
Every supplier is a school that uses at least one publication.,Supplier ⊑ School ⊓ ∃uses.Publication
Every transaction owns something that is both a building and a food.,Transaction ⊑ ∃owns.(Building ⊓ Food)
Every order is both a cat and a department.,Order ⊑ Cat ⊓ Department
Nothing that is a employee is a publication.,Employee ⊑ ¬Publication
All countrys are hardwares as well as hospitals.,Country ⊑ Hardware ⊓ Hospital
Every researcher authors only departments.,Researcher ⊑ ∀authors.Department
Every machine produces at least one movie.,Machine ⊑ ∃produces.Movie
Every food that owns only researchers is a product.,Food ⊓ ∀owns.Researcher ⊑ Product
A course owns exclusively publications.,Course ⊑ ∀owns.Publication
A product is always a music.,Product ⊑ Music
A cat is something that develops a person.,Cat ⊑ ∃develops.Person
Every company is a library that buys at least one transaction.,Company ⊑ Library ⊓ ∃buys.Transaction
All dogs are defined as a music or a employee.,Dog ⊑ Music ⊔ Employee
Anything that designs a movie.,∃designs.Movie
Anything that produces a doctor.,∃produces.Doctor
A manager and a publication.,Manager ⊓ Publication
A animal and a music.,Animal ⊓ Music
All banks are defined as a city or a university.,Bank ⊑ City ⊔ University
A bank is always a cat.,Bank ⊑ Cat
All machines are projects.,Machine ⊑ Project
All engineers are companys.,Engineer ⊑ Company
Every book that delivers only customers is a machine.,Book ⊓ ∀delivers.Customer ⊑ Machine
Anything that knows a food also knows a product.,∃knows.Food ⊑ ∃knows.Product
A department is something that attends a engineer.,Department ⊑ ∃attends.Engineer
A device and a patient.,Device ⊓ Patient
Every service operates at least one person.,Service ⊑ ∃operates.Person
Every supplier is either a dog or a student.,Supplier ⊑ Dog ⊔ Student
A company is neither a car nor a machine.,Company ⊑ ¬(Car ⊔ Machine)
All employees are companys as well as patients.,Employee ⊑ Company ⊓ Patient
A student is always a animal.,Student ⊑ Animal
A machine is neither a building nor a country.,Machine ⊑ ¬(Building ⊔ Country)
A plant and a company.,Plant ⊓ Company
No person is a patient.,Person ⊑ ¬Patient
Every software reads only artists.,Software ⊑ ∀reads.Artist
A artist cannot be a machine.,Artist ⊑ ¬Machine
Each dog produces a vehicle.,Dog ⊑ ∃produces.Vehicle
Every university manages something that is both a artist and a manager.,University ⊑ ∃manages.(Artist ⊓ Manager)
A dog is always a account.,Dog ⊑ Account
Anything that knows a book also knows a animal.,∃knows.Book ⊑ ∃knows.Animal
Every employee reads at least one music.,Employee ⊑ ∃reads.Music
A cat or a dog.,Cat ⊔ Dog
Nothing that is a person is a department.,Person ⊑ ¬Department
Every customer is either a account or a country.,Customer ⊑ Account ⊔ Country
Every bank that creates a course is a project.,Bank ⊓ ∃creates.Course ⊑ Project
Every person is both a device and a organization.,Person ⊑ Device ⊓ Organization
Every doctor creates only things that are either a product or a city.,Doctor ⊑ ∀creates.(Product ⊔ City)
A car or a company.,Car ⊔ Company
All engineers are cats.,Engineer ⊑ Cat
Every employee is a transaction that teaches only movies.,Employee ⊑ Transaction ⊓ ∀teaches.Movie
A employee is something that uses a city.,Employee ⊑ ∃uses.City
Anything that develops a manager also develops a employee.,∃develops.Manager ⊑ ∃develops.Employee
A plant is neither a patient nor a supplier.,Plant ⊑ ¬(Patient ⊔ Supplier)
Every country is either a publication or a manager.,Country ⊑ Publication ⊔ Manager
A doctor is neither a department nor a person.,Doctor ⊑ ¬(Department ⊔ Person)
Nothing that is a organization is a artist.,Organization ⊑ ¬Artist
Every customer is either a supplier or a manager.,Customer ⊑ Supplier ⊔ Manager
All scientists are cats.,Scientist ⊑ Cat
Every doctor is a school that likes only transactions.,Doctor ⊑ School ⊓ ∀likes.Transaction
All vehicles are researchers as well as books.,Vehicle ⊑ Researcher ⊓ Book
A order and a supplier.,Order ⊓ Supplier
Every person likes something that is both a publication and a school.,Person ⊑ ∃likes.(Publication ⊓ School)
Anything that delivers only cats.,∀delivers.Cat
A dog is neither a hardware nor a researcher.,Dog ⊑ ¬(Hardware ⊔ Researcher)
Every engineer is a patient that knows at least one movie.,Engineer ⊑ Patient ⊓ ∃knows.Movie
Every building that develops only hardwares is a course.,Building ⊓ ∀develops.Hardware ⊑ Course
All accounts are cats.,Account ⊑ Cat
Every animal authors something that is both a machine and a department.,Animal ⊑ ∃authors.(Machine ⊓ Department)
No music is a organization.,Music ⊑ ¬Organization
A scientist manages exclusively companys.,Scientist ⊑ ∀manages.Company
A researcher or a organization.,Researcher ⊔ Organization
A university and a food.,University ⊓ Food
Every device develops at least one machine.,Device ⊑ ∃develops.Machine
No organization is a course.,Organization ⊑ ¬Course
A person cannot be a researcher.,Person ⊑ ¬Researcher
Every patient is a product.,Patient ⊑ Product
A employee cannot be a engineer.,Employee ⊑ ¬Engineer
A bank or a animal.,Bank ⊔ Animal
Every university supervises only schools.,University ⊑ ∀supervises.School
All softwares are defined as a engineer or a animal.,Software ⊑ Engineer ⊔ Animal
Every software that authors a project is a service.,Software ⊓ ∃authors.Project ⊑ Service
Every scientist creates something that is both a researcher and a city.,Scientist ⊑ ∃creates.(Researcher ⊓ City)
Every service maintains at least one movie.,Service ⊑ ∃maintains.Movie
No invoice is a animal.,Invoice ⊑ ¬Animal
Every device is a researcher that attends at least one dog.,Device ⊑ Researcher ⊓ ∃attends.Dog
Every project operates something that is both a transaction and a researcher.,Project ⊑ ∃operates.(Transaction ⊓ Researcher)
Every student is a patient that teaches at least one book.,Student ⊑ Patient ⊓ ∃teaches.Book
Every dog manages only publications.,Dog ⊑ ∀manages.Publication
All courses are defined as a supplier or a software.,Course ⊑ Supplier ⊔ Software
A department or a software.,Department ⊔ Software
Whatever is both a country and a supplier supervises a department.,Country ⊓ Supplier ⊑ ∃supervises.Department
Anything that authors a artist.,∃authors.Artist
Nothing that is a city is a software.,City ⊑ ¬Software
Every teacher supervises something that is both a product and a building.,Teacher ⊑ ∃supervises.(Product ⊓ Building)
Every animal is a publication.,Animal ⊑ Publication
A software delivers exclusively hospitals.,Software ⊑ ∀delivers.Hospital
Whatever is both a order and a account sells a supplier.,Order ⊓ Account ⊑ ∃sells.Supplier
A employee or a software.,Employee ⊔ Software
Every cat is a department that delivers at least one organization.,Cat ⊑ Department ⊓ ∃delivers.Organization
All students are citys.,Student ⊑ City
All foods are managers.,Food ⊑ Manager
Every scientist is a account that treats only hospitals.,Scientist ⊑ Account ⊓ ∀treats.Hospital
A service or a publication.,Service ⊔ Publication
Nothing that is a order is a plant.,Order ⊑ ¬Plant
A movie is something that creates a software.,Movie ⊑ ∃creates.Software
A machine and a department.,Machine ⊓ Department
A transaction is neither a account nor a car.,Transaction ⊑ ¬(Account ⊔ Car)
"If a dog owns anything, it must be a bank.",Dog ⊑ ∀owns.Bank
"If a movie authors anything, it must be a patient.",Movie ⊑ ∀authors.Patient
Every university supervises something that is both a device and a book.,University ⊑ ∃supervises.(Device ⊓ Book)
Every book is a movie that authors at least one artist.,Book ⊑ Movie ⊓ ∃authors.Artist
A service is neither a hardware nor a music.,Service ⊑ ¬(Hardware ⊔ Music)
Every student is located in only buildings.,Student ⊑ ∀locatedIn.Building
Nothing that is a music is a car.,Music ⊑ ¬Car
A music is neither a car nor a doctor.,Music ⊑ ¬(Car ⊔ Doctor)
A doctor is always a transaction.,Doctor ⊑ Transaction
A machine works for exclusively departments.,Machine ⊑ ∀worksFor.Department
Every book is a dog that produces at least one city.,Book ⊑ Dog ⊓ ∃produces.City
Every service that knows a transaction is a employee.,Service ⊓ ∃knows.Transaction ⊑ Employee
Every building is a music.,Building ⊑ Music
Anything that operates a person.,∃operates.Person
"If a animal creates anything, it must be a device.",Animal ⊑ ∀creates.Device
A engineer knows exclusively suppliers.,Engineer ⊑ ∀knows.Supplier
Each customer delivers a university.,Customer ⊑ ∃delivers.University
A publication is something that operates a manager.,Publication ⊑ ∃operates.Manager
Every dog is a machine.,Dog ⊑ Machine
All foods are defined as a company or a course.,Food ⊑ Company ⊔ Course
Every book is either a cat or a patient.,Book ⊑ Cat ⊔ Patient
Every teacher that works for a dog is a engineer.,Teacher ⊓ ∃worksFor.Dog ⊑ Engineer
All machines are defined as a organization or a patient.,Machine ⊑ Organization ⊔ Patient
A movie and a bank.,Movie ⊓ Bank
Every account that maintains only patients is a student.,Account ⊓ ∀maintains.Patient ⊑ Student
A hospital is something that manages a animal.,Hospital ⊑ ∃manages.Animal
Every car is a order that knows only suppliers.,Car ⊑ Order ⊓ ∀knows.Supplier
Every scientist that designs only persons is a cat.,Scientist ⊓ ∀designs.Person ⊑ Cat
Every country is a manager.,Country ⊑ Manager
Anything that treats a city.,∃treats.City
A bank is something that buys a hospital.,Bank ⊑ ∃buys.Hospital
Anything that creates a teacher also creates a account.,∃creates.Teacher ⊑ ∃creates.Account
Nothing that is a vehicle is a artist.,Vehicle ⊑ ¬Artist
A school cannot be a doctor.,School ⊑ ¬Doctor
Whatever is both a school and a engineer designs a music.,School ⊓ Engineer ⊑ ∃designs.Music
A car creates exclusively plants.,Car ⊑ ∀creates.Plant
Each library manages a dog.,Library ⊑ ∃manages.Dog
A course is always a product.,Course ⊑ Product
A city is something that works for a hospital.,City ⊑ ∃worksFor.Hospital
No student is a software.,Student ⊑ ¬Software
Nothing that is a city is a employee.,City ⊑ ¬Employee
A cat is neither a machine nor a country.,Cat ⊑ ¬(Machine ⊔ Country)
Every student manages only things that are either a city or a software.,Student ⊑ ∀manages.(City ⊔ Software)
Every student reads only citys.,Student ⊑ ∀reads.City
A hardware or a food.,Hardware ⊔ Food
Every teacher is a publication that uses only managers.,Teacher ⊑ Publication ⊓ ∀uses.Manager
A animal cannot be a manager.,Animal ⊑ ¬Manager
Every software is a doctor.,Software ⊑ Doctor
A school cannot be a country.,School ⊑ ¬Country
A artist is something that operates a hardware.,Artist ⊑ ∃operates.Hardware
Each music authors a artist.,Music ⊑ ∃authors.Artist
A manager is neither a organization nor a device.,Manager ⊑ ¬(Organization ⊔ Device)
A building creates exclusively persons.,Building ⊑ ∀creates.Person
A student cannot be a company.,Student ⊑ ¬Company
A movie or a hospital.,Movie ⊔ Hospital
Every vehicle that manages only animals is a publication.,Vehicle ⊓ ∀manages.Animal ⊑ Publication
All invoices are foods.,Invoice ⊑ Food
Every student has child something that is both a organization and a supplier.,Student ⊑ ∃hasChild.(Organization ⊓ Supplier)
A person is always a artist.,Person ⊑ Artist
A researcher and a city.,Researcher ⊓ City
Every animal is either a service or a device.,Animal ⊑ Service ⊔ Device
All transactions are buildings.,Transaction ⊑ Building
Every publication is a library that maintains only cars.,Publication ⊑ Library ⊓ ∀maintains.Car
All services are defined as a order or a bank.,Service ⊑ Order ⊔ Bank
Every doctor is a hospital that works for only customers.,Doctor ⊑ Hospital ⊓ ∀worksFor.Customer
Every school that develops a scientist is a hardware.,School ⊓ ∃develops.Scientist ⊑ Hardware
"If a hospital buys anything, it must be a account.",Hospital ⊑ ∀buys.Account
Anything that knows a building.,∃knows.Building
Anything that sells a manager also sells a vehicle.,∃sells.Manager ⊑ ∃sells.Vehicle
Each movie attends a manager.,Movie ⊑ ∃attends.Manager
Anything that owns only doctors.,∀owns.Doctor
All companys are universitys.,Company ⊑ University
All companys are foods.,Company ⊑ Food
All universitys are dogs as well as cats.,University ⊑ Dog ⊓ Cat
Every doctor designs only musics.,Doctor ⊑ ∀designs.Music
Every software is both a company and a researcher.,Software ⊑ Company ⊓ Researcher
Whatever is both a library and a student develops a hospital.,Library ⊓ Student ⊑ ∃develops.Hospital
Every supplier is a animal that creates only transactions.,Supplier ⊑ Animal ⊓ ∀creates.Transaction
All citys are artists.,City ⊑ Artist
Whatever is both a hospital and a dog likes a university.,Hospital ⊓ Dog ⊑ ∃likes.University
Every dog is a city that supervises at least one movie.,Dog ⊑ City ⊓ ∃supervises.Movie
Every publication that is located in only teachers is a food.,Publication ⊓ ∀locatedIn.Teacher ⊑ Food
Every animal owns only things that are either a scientist or a book.,Animal ⊑ ∀owns.(Scientist ⊔ Book)
A department creates exclusively products.,Department ⊑ ∀creates.Product
A dog reads exclusively countrys.,Dog ⊑ ∀reads.Country
Every invoice is both a school and a dog.,Invoice ⊑ School ⊓ Dog
Every publication is a employee.,Publication ⊑ Employee
A plant is always a book.,Plant ⊑ Book
Every company is a department that creates only employees.,Company ⊑ Department ⊓ ∀creates.Employee
Whatever is both a plant and a library knows a music.,Plant ⊓ Library ⊑ ∃knows.Music
Every cat that likes only cars is a library.,Cat ⊓ ∀likes.Car ⊑ Library
All products are organizations as well as teachers.,Product ⊑ Organization ⊓ Teacher
Every machine that buys a library is a invoice.,Machine ⊓ ∃buys.Library ⊑ Invoice
Each bank operates a university.,Bank ⊑ ∃operates.University
Every machine delivers something that is both a course and a music.,Machine ⊑ ∃delivers.(Course ⊓ Music)
Whatever is both a transaction and a publication teaches a patient.,Transaction ⊓ Publication ⊑ ∃teaches.Patient
Every teacher that creates only services is a publication.,Teacher ⊓ ∀creates.Service ⊑ Publication
Every person is a company that maintains only students.,Person ⊑ Company ⊓ ∀maintains.Student
A hospital or a manager.,Hospital ⊔ Manager
A supplier or a patient.,Supplier ⊔ Patient
All softwares are defined as a movie or a hospital.,Software ⊑ Movie ⊔ Hospital
Every company is a patient.,Company ⊑ Patient
A hardware or a order.,Hardware ⊔ Order
A school is always a invoice.,School ⊑ Invoice
A order cannot be a publication.,Order ⊑ ¬Publication
Every hospital is located in only things that are either a employee or a bank.,Hospital ⊑ ∀locatedIn.(Employee ⊔ Bank)
A hardware works for exclusively invoices.,Hardware ⊑ ∀worksFor.Invoice
No student is a researcher.,Student ⊑ ¬Researcher
Each person authors a car.,Person ⊑ ∃authors.Car
Every bank is either a service or a employee.,Bank ⊑ Service ⊔ Employee
Every organization is a car that buys only students.,Organization ⊑ Car ⊓ ∀buys.Student
Every customer is both a publication and a animal.,Customer ⊑ Publication ⊓ Animal
A school is something that sells a device.,School ⊑ ∃sells.Device
Every country is a scientist that teaches only librarys.,Country ⊑ Scientist ⊓ ∀teaches.Library
A vehicle is neither a artist nor a employee.,Vehicle ⊑ ¬(Artist ⊔ Employee)
Every car buys something that is both a university and a patient.,Car ⊑ ∃buys.(University ⊓ Patient)
Each engineer develops a scientist.,Engineer ⊑ ∃develops.Scientist
A project develops exclusively countrys.,Project ⊑ ∀develops.Country
Nothing that is a organization is a service.,Organization ⊑ ¬Service
Anything that creates a school also creates a researcher.,∃creates.School ⊑ ∃creates.Researcher
A organization is neither a city nor a publication.,Organization ⊑ ¬(City ⊔ Publication)
A country is always a plant.,Country ⊑ Plant
Every food manages only things that are either a patient or a university.,Food ⊑ ∀manages.(Patient ⊔ University)
Nothing that is a service is a food.,Service ⊑ ¬Food
Whatever is both a building and a employee owns a student.,Building ⊓ Employee ⊑ ∃owns.Student
All companys are citys as well as services.,Company ⊑ City ⊓ Service
Every project that creates only plants is a customer.,Project ⊓ ∀creates.Plant ⊑ Customer
Anything that likes a student.,∃likes.Student
A customer and a publication.,Customer ⊓ Publication
Whatever is both a music and a movie attends a project.,Music ⊓ Movie ⊑ ∃attends.Project
No manager is a cat.,Manager ⊑ ¬Cat
Every manager is a researcher that has child at least one machine.,Manager ⊑ Researcher ⊓ ∃hasChild.Machine
Every publication is a student that has child at least one customer.,Publication ⊑ Student ⊓ ∃hasChild.Customer
Anything that funds a city.,∃funds.City
A vehicle knows exclusively employees.,Vehicle ⊑ ∀knows.Employee
Anything that creates a publication also creates a department.,∃creates.Publication ⊑ ∃creates.Department
Every product designs something that is both a music and a city.,Product ⊑ ∃designs.(Music ⊓ City)
A food is neither a book nor a hardware.,Food ⊑ ¬(Book ⊔ Hardware)
Every publication is a dog that manages only orders.,Publication ⊑ Dog ⊓ ∀manages.Order
Every engineer is a device that maintains only accounts.,Engineer ⊑ Device ⊓ ∀maintains.Account
A company or a project.,Company ⊔ Project
A software is always a company.,Software ⊑ Company
A product and a dog.,Product ⊓ Dog
Every school funds at least one publication.,School ⊑ ∃funds.Publication
Anything that manages only employees.,∀manages.Employee
All movies are engineers as well as machines.,Movie ⊑ Engineer ⊓ Machine
All machines are defined as a hardware or a food.,Machine ⊑ Hardware ⊔ Food
Every plant delivers only things that are either a university or a employee.,Plant ⊑ ∀delivers.(University ⊔ Employee)
A movie and a artist.,Movie ⊓ Artist
Nothing that is a university is a school.,University ⊑ ¬School
Every hospital is a dog.,Hospital ⊑ Dog
Every movie that develops a university is a doctor.,Movie ⊓ ∃develops.University ⊑ Doctor
Every artist is a product that knows only vehicles.,Artist ⊑ Product ⊓ ∀knows.Vehicle
All plants are organizations as well as publications.,Plant ⊑ Organization ⊓ Publication
All buildings are accounts as well as banks.,Building ⊑ Account ⊓ Bank
Anything that is located in a country.,∃locatedIn.Country
A customer owns exclusively countrys.,Customer ⊑ ∀owns.Country
All animals are orders.,Animal ⊑ Order
All orders are persons.,Order ⊑ Person
"If a university produces anything, it must be a publication.",University ⊑ ∀produces.Publication
"If a order buys anything, it must be a publication.",Order ⊑ ∀buys.Publication
All hospitals are defined as a food or a vehicle.,Hospital ⊑ Food ⊔ Vehicle
A car funds exclusively hardwares.,Car ⊑ ∀funds.Hardware
Anything that has child a organization also has child a music.,∃hasChild.Organization ⊑ ∃hasChild.Music
A patient has child exclusively publications.,Patient ⊑ ∀hasChild.Publication
Whatever is both a country and a student authors a service.,Country ⊓ Student ⊑ ∃authors.Service
Anything that designs a food also designs a country.,∃designs.Food ⊑ ∃designs.Country
A scientist and a order.,Scientist ⊓ Order
A order is neither a employee nor a device.,Order ⊑ ¬(Employee ⊔ Device)
Anything that designs a car also designs a project.,∃designs.Car ⊑ ∃designs.Project
All products are services as well as students.,Product ⊑ Service ⊓ Student
A supplier cannot be a publication.,Supplier ⊑ ¬Publication
Whatever is both a patient and a account produces a building.,Patient ⊓ Account ⊑ ∃produces.Building
A researcher and a library.,Researcher ⊓ Library
A publication and a food.,Publication ⊓ Food
Every car develops only things that are either a library or a bank.,Car ⊑ ∀develops.(Library ⊔ Bank)
A city or a library.,City ⊔ Library
Every school treats only countrys.,School ⊑ ∀treats.Country
Each hardware treats a device.,Hardware ⊑ ∃treats.Device
Every city is a order that sells only doctors.,City ⊑ Order ⊓ ∀sells.Doctor
A country designs exclusively devices.,Country ⊑ ∀designs.Device
All scientists are cats as well as animals.,Scientist ⊑ Cat ⊓ Animal
Every plant that knows only accounts is a engineer.,Plant ⊓ ∀knows.Account ⊑ Engineer
Every service manages only things that are either a transaction or a university.,Service ⊑ ∀manages.(Transaction ⊔ University)
Nothing that is a product is a transaction.,Product ⊑ ¬Transaction
No hospital is a account.,Hospital ⊑ ¬Account
Every movie that designs only projects is a product.,Movie ⊓ ∀designs.Project ⊑ Product
No school is a car.,School ⊑ ¬Car
Every company is a student that attends only courses.,Company ⊑ Student ⊓ ∀attends.Course
Every company creates only things that are either a account or a student.,Company ⊑ ∀creates.(Account ⊔ Student)
All transactions are teachers as well as companys.,Transaction ⊑ Teacher ⊓ Company
Every patient is either a movie or a food.,Patient ⊑ Movie ⊔ Food
A researcher is always a student.,Researcher ⊑ Student
A account cannot be a publication.,Account ⊑ ¬Publication
Anything that funds only teachers.,∀funds.Teacher
All accounts are defined as a course or a school.,Account ⊑ Course ⊔ School
Each invoice is located in a hospital.,Invoice ⊑ ∃locatedIn.Hospital
Nothing that is a vehicle is a engineer.,Vehicle ⊑ ¬Engineer
All artists are vehicles as well as cars.,Artist ⊑ Vehicle ⊓ Car
A transaction and a publication.,Transaction ⊓ Publication
Every vehicle designs only scientists.,Vehicle ⊑ ∀designs.Scientist
A department manages exclusively doctors.,Department ⊑ ∀manages.Doctor
All persons are publications.,Person ⊑ Publication
Anything that is located in a course.,∃locatedIn.Course
Every device likes at least one movie.,Device ⊑ ∃likes.Movie
Anything that knows a researcher.,∃knows.Researcher
A manager and a hardware.,Manager ⊓ Hardware
Every movie is a device.,Movie ⊑ Device
Each car maintains a patient.,Car ⊑ ∃maintains.Patient
Anything that designs a company.,∃designs.Company
Every bank is a service that knows only movies.,Bank ⊑ Service ⊓ ∀knows.Movie
Anything that uses only banks.,∀uses.Bank
A invoice cannot be a software.,Invoice ⊑ ¬Software
Every scientist is a employee.,Scientist ⊑ Employee
Nothing that is a student is a hardware.,Student ⊑ ¬Hardware
Anything that uses a course.,∃uses.Course
A company owns exclusively plants.,Company ⊑ ∀owns.Plant
Anything that develops only banks.,∀develops.Bank
A teacher is something that attends a publication.,Teacher ⊑ ∃attends.Publication
A dog is always a engineer.,Dog ⊑ Engineer
Each plant knows a researcher.,Plant ⊑ ∃knows.Researcher
Each engineer authors a student.,Engineer ⊑ ∃authors.Student
A person and a hardware.,Person ⊓ Hardware
A service is always a cat.,Service ⊑ Cat
Every transaction owns something that is both a company and a researcher.,Transaction ⊑ ∃owns.(Company ⊓ Researcher)
Every employee is a product.,Employee ⊑ Product
"If a order knows anything, it must be a hospital.",Order ⊑ ∀knows.Hospital
Every bank likes only hospitals.,Bank ⊑ ∀likes.Hospital
Every software is a cat that develops only persons.,Software ⊑ Cat ⊓ ∀develops.Person
Every animal is either a device or a patient.,Animal ⊑ Device ⊔ Patient
All organizations are engineers.,Organization ⊑ Engineer
Whatever is both a city and a supplier maintains a invoice.,City ⊓ Supplier ⊑ ∃maintains.Invoice
A library or a supplier.,Library ⊔ Supplier
Nothing that is a university is a order.,University ⊑ ¬Order
"If a researcher treats anything, it must be a organization.",Researcher ⊑ ∀treats.Organization
All animals are cars.,Animal ⊑ Car
All teachers are movies as well as dogs.,Teacher ⊑ Movie ⊓ Dog
Every country that manages a supplier is a project.,Country ⊓ ∃manages.Supplier ⊑ Project
A scientist or a book.,Scientist ⊔ Book
No order is a account.,Order ⊑ ¬Account
All hardwares are teachers as well as products.,Hardware ⊑ Teacher ⊓ Product
"If a library develops anything, it must be a bank.",Library ⊑ ∀develops.Bank
Every bank likes only foods.,Bank ⊑ ∀likes.Food
Each company works for a engineer.,Company ⊑ ∃worksFor.Engineer
All suppliers are musics.,Supplier ⊑ Music
Every project is a order that works for at least one organization.,Project ⊑ Order ⊓ ∃worksFor.Organization
Every product funds only engineers.,Product ⊑ ∀funds.Engineer
A product likes exclusively softwares.,Product ⊑ ∀likes.Software
Nothing that is a company is a device.,Company ⊑ ¬Device
A company is something that creates a plant.,Company ⊑ ∃creates.Plant
Each software buys a person.,Software ⊑ ∃buys.Person
Every organization is a teacher.,Organization ⊑ Teacher
A book works for exclusively customers.,Book ⊑ ∀worksFor.Customer
Every university supervises something that is both a product and a food.,University ⊑ ∃supervises.(Product ⊓ Food)
Every machine delivers something that is both a department and a order.,Machine ⊑ ∃delivers.(Department ⊓ Order)
Whatever is both a machine and a publication owns a employee.,Machine ⊓ Publication ⊑ ∃owns.Employee
Every transaction is a course that attends only buildings.,Transaction ⊑ Course ⊓ ∀attends.Building
Every project is either a hospital or a researcher.,Project ⊑ Hospital ⊔ Researcher
Every building treats at least one department.,Building ⊑ ∃treats.Department
Anything that operates a city also operates a person.,∃operates.City ⊑ ∃operates.Person
A cat is neither a service nor a movie.,Cat ⊑ ¬(Service ⊔ Movie)
Anything that manages a device also manages a plant.,∃manages.Device ⊑ ∃manages.Plant
All accounts are defined as a car or a project.,Account ⊑ Car ⊔ Project
Nothing that is a cat is a customer.,Cat ⊑ ¬Customer
A software likes exclusively transactions.,Software ⊑ ∀likes.Transaction
Anything that funds a vehicle.,∃funds.Vehicle
A company and a manager.,Company ⊓ Manager
Every cat treats at least one music.,Cat ⊑ ∃treats.Music
